
Time,T_+ve,T_-ve,Flux,Fluxpos,Fluxneg
546.075,0.677,-0.898,2.03956038e-08,2.65587102e-09,-6.628173e+01
547.588,0.733,-0.837,2.049072696e-08,2.645305344e-09,-6.589714e+01
549.102,0.854,-0.781,1.975521636e-08,2.529126864e-09,-6.287366e+01
550.835,0.731,-0.879,2.006083332e-08,2.568137616e-09,-6.384635e+01
552.371,0.844,-0.805,1.877858136e-08,2.525093208e-09,-6.299374e+01
554.075,0.694,-0.860,2.011111344e-08,2.670907932e-09,-6.675122e+01
555.572,0.687,-0.804,2.112948288e-08,2.769397884e-09,-6.939608e+01
557.224,0.954,-0.965,1.694813472e-08,2.125202112e-09,-5.338414e+01
559.099,0.725,-0.921,1.928515248e-08,2.466273348e-09,-6.200317e+01
560.726,0.874,-0.901,1.78745094e-08,2.284930296e-09,-5.746778e+01
562.340,0.728,-0.740,2.108410128e-08,2.78043876e-09,-6.996199e+01
563.868,0.709,-0.800,2.086214328e-08,2.693294208e-09,-6.777967e+01
565.546,0.966,-0.970,1.585134144e-08,2.111295384e-09,-5.316120e+01
567.127,0.696,-0.615,2.42045496e-08,3.09047706e-09,-7.782004e+01
568.603,0.651,-0.780,2.220502284e-08,2.834405244e-09,-7.139115e+01
569.962,0.743,-0.708,2.153284056e-08,2.805933636e-09,-7.069776e+01
571.456,0.730,-0.751,2.147522256e-08,2.73973392e-09,-6.904437e+01
573.006,0.804,-0.820,1.973242656e-08,2.490718428e-09,-6.278456e+01
574.758,1.059,-0.948,1.610314596e-08,2.011118868e-09,-5.070961e+01
576.586,0.653,-0.769,2.25477054e-08,2.844580068e-09,-7.174176e+01
577.959,0.812,-0.720,2.075184936e-08,2.647150308e-09,-6.671779e+01
579.559,0.999,-0.789,1.786198392e-08,2.281532616e-09,-5.742683e+01
581.274,0.858,-0.716,1.96649442e-08,2.62402074e-09,-6.595006e+01
583.014,0.800,-0.881,1.873272456e-08,2.453242572e-09,-6.150499e+01
584.780,0.918,-0.966,1.6857225e-08,2.191255308e-09,-5.476950e+01
586.544,0.837,-0.846,1.83970908e-08,2.475223344e-09,-6.170321e+01
588.251,0.838,-0.870,1.797292332e-08,2.451734208e-09,-6.093248e+01
590.063,0.763,-0.974,1.794411828e-08,2.39463972e-09,-5.955114e+01
591.770,0.753,-0.944,1.86365322e-08,2.430779472e-09,-6.055909e+01
593.452,0.848,-0.929,1.779709932e-08,2.316158064e-09,-5.783267e+01
595.114,0.695,-0.814,2.131721064e-08,2.712634452e-09,-6.784365e+01
